epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,149.726,0.6734,0.87382,0.52089,0.98786,0.93046,0.90465,0.92535,0.59077,0.9057,0.86521,0.87458,0.56293,0.9157,0.88639,0.69794,1.11785,0.00074675,0.00074675,0.00074675
63,152.103,0.68624,0.78109,0.51426,0.98235,0.90582,0.90761,0.92224,0.59928,0.90828,0.87001,0.88196,0.55912,0.92194,0.85179,0.65734,1.13048,0.0007385,0.0007385,0.0007385
64,154.496,0.70741,0.81901,0.53501,0.98565,0.94067,0.9492,0.94322,0.62297,0.88734,0.89729,0.88655,0.56053,0.88084,0.85356,0.60712,1.12674,0.00073025,0.00073025,0.00073025
65,156.881,0.66245,0.75942,0.48774,0.98377,0.92779,0.95166,0.94054,0.65098,0.86191,0.88935,0.86661,0.5824,0.8403,0.84376,0.60963,1.07992,0.000722,0.000722,0.000722
66,159.31,0.64066,0.855,0.50477,0.98082,0.92033,0.9064,0.94732,0.6431,0.86054,0.85368,0.8785,0.57895,0.84643,0.83298,0.62186,1.07602,0.00071375,0.00071375,0.00071375
67,161.69,0.64974,0.79153,0.4863,0.97562,0.90799,0.9173,0.9496,0.61978,0.90799,0.83478,0.89361,0.53453,0.87072,0.82743,0.61399,1.11137,0.0007055,0.0007055,0.0007055
68,164.147,0.71594,0.90376,0.52124,0.9938,0.9129,0.95541,0.95116,0.59856,0.92483,0.89009,0.92186,0.5418,0.90132,0.82742,0.62607,1.14782,0.00069725,0.00069725,0.00069725
69,166.539,0.64311,0.7747,0.50679,0.99631,0.94578,0.93048,0.95878,0.66011,0.93035,0.8955,0.92028,0.60026,0.83257,0.77714,0.56177,1.09722,0.000689,0.000689,0.000689
70,168.995,0.64665,0.76682,0.46983,0.97482,0.93591,0.93768,0.96375,0.67637,0.93996,0.89533,0.94778,0.64715,0.83619,0.76703,0.56056,1.10624,0.00068075,0.00068075,0.00068075
71,171.426,0.61153,0.72483,0.45226,0.96939,0.93157,0.95012,0.96525,0.67081,0.8874,0.9081,0.92175,0.60178,0.8648,0.79962,0.60275,1.11991,0.0006725,0.0006725,0.0006725
72,173.819,0.66417,0.86126,0.50431,0.9963,0.91947,0.93825,0.95674,0.64564,0.83457,0.93669,0.91142,0.59902,0.86449,0.77823,0.57849,1.10251,0.00066425,0.00066425,0.00066425
73,176.226,0.65782,0.79153,0.50971,0.96177,0.93183,0.94943,0.92738,0.63445,0.90144,0.94884,0.92567,0.61378,0.86434,0.78214,0.56674,1.09759,0.000656,0.000656,0.000656
74,178.627,0.64276,0.80059,0.45902,0.97423,0.94628,0.94448,0.96048,0.65385,0.94075,0.9111,0.95447,0.62114,0.83353,0.77589,0.57276,1.07706,0.00064775,0.00064775,0.00064775
75,181.015,0.67549,0.87483,0.50555,0.97968,0.93168,0.90403,0.94577,0.62861,0.91366,0.8639,0.9197,0.59967,0.87053,0.83105,0.6288,1.0908,0.0006395,0.0006395,0.0006395
76,183.387,0.63352,0.78293,0.481,0.99949,0.92116,0.91991,0.94054,0.62059,0.88994,0.89125,0.92154,0.57904,0.90798,1.01667,0.63506,1.1488,0.00063125,0.00063125,0.00063125
77,185.789,0.64099,0.72911,0.46298,0.96836,0.90272,0.95532,0.95452,0.67815,0.92533,0.86634,0.92632,0.63448,0.79721,0.8242,0.55347,1.04838,0.000623,0.000623,0.000623
78,188.188,0.63766,0.78868,0.47606,0.97493,0.94033,0.91737,0.95049,0.69968,0.90503,0.88576,0.92527,0.63599,0.77992,0.92243,0.56242,1.02848,0.00061475,0.00061475,0.00061475
79,190.625,0.62707,0.75518,0.46263,0.98022,0.90303,0.94472,0.95814,0.64138,0.88972,0.86204,0.89906,0.57149,0.84234,0.85704,0.56388,1.09209,0.0006065,0.0006065,0.0006065
80,193.019,0.6538,0.80497,0.4857,0.987,0.95036,0.90384,0.94313,0.6344,0.86469,0.9254,0.92627,0.60333,0.86021,0.88868,0.56636,1.14265,0.00059825,0.00059825,0.00059825
81,195.41,0.63697,0.76204,0.48433,0.96157,0.94244,0.96464,0.96527,0.64037,0.84713,0.87081,0.84089,0.58432,0.84232,0.91758,0.60555,1.12335,0.00059,0.00059,0.00059
82,197.789,0.6151,0.76633,0.45585,0.97628,0.94641,0.94345,0.95379,0.63363,0.88005,0.87984,0.89249,0.57348,0.83281,0.93458,0.61444,1.09439,0.00058175,0.00058175,0.00058175
83,200.169,0.65088,0.79476,0.49103,0.99143,0.93678,0.94883,0.95145,0.65449,0.88422,0.87417,0.8881,0.60168,0.79651,0.95386,0.60194,1.06444,0.0005735,0.0005735,0.0005735
84,202.592,0.63226,0.75895,0.49379,0.98008,0.91512,0.93135,0.9138,0.64647,0.88248,0.8994,0.89366,0.58496,0.80402,0.83293,0.59823,1.08568,0.00056525,0.00056525,0.00056525
